country,Corpus,Nb.of.participants,Location,Latitude,Longitude
Slovenia,Zagar,20,Slovenia,46.1512,14.9955
South Africa,Stellenbosch,2,South Africa,-30.5595,22.9375
Spain,EsteveGibert/Prieto,4,"Alt penedes, region of catalonia",41.3588,1.6959
Spain,Aguirre,1,Spain,40.4637,-3.7492
Spain,MireiaEvaPascual,3,Barcelona,41.3851,2.1734
Spain,Vila,1,Spain,40.4637,-3.7492
Spain,Ornat,1,"Madrid, Spain",40.4168,-3.7038
Spain,Linaza,4,Spain,40.4637,-3.7492
Spain,Luque,38,"Bizkaia, Autonomous Community of the Basque Country, Spain",43.263,-2.934
Spain,Soto,8,"Navarra, Spain",42.6954,-1.6761
Spain,OreaPine,2,"Madrid, Spain",40.4168,-3.7038
Spain,Serra & Sole,9,spain,40.4637,-3.7492
Spain,FerFuLice,2,"Spain, Salamanca",40.9701,-5.6635
Spain,PAIDUS Spanish,4,"Madrid, Spain",40.4168,-3.7038
Spain,LlinasOjea,2,Spain,40.4637,-3.7492
Spain,Vila,1,Spain,40.4637,-3.7492
Spain,LlinasOjea (IRENE),1,"Gijón, Spain",43.5453,-5.6615
Spain,SerraSole,1,Spain,40.4637,-3.7492
Spain,Marrero,6,"Madrid, Spain ; Tenerife, Canary Islands",28.2916,-16.6291
Spain,Serra,4,Spain,40.4637,-3.7492
Spain,Jordina,1,Barcelona,41.3851,2.1734
Spain,Julia,1,Barcelona,41.3851,2.1734
Spain,FernAguado,50,"Pamplona, Spain",42.8125,-1.6458
Spain,Koine,66, Santiago/A Estrada/Lugo,43.0117,-7.5561
Spain,Nieva,1,"Madrid, Spain ",40.4168,-3.7038
Spain & Hungary,Biro,1,"Spain (Lloret de Mar), Hungary (Kecskemét)",41.6986,2.8444
Sweden,Andrén,1,Sweden,59.6749712,14.5208584
Sweden,Lund,5,Sweden,59.6749712,14.5208584
Sweden,Lacerda,3,"Stockholm, Sweden",59.3293,18.0686
Sweden & Portugal,MCF,3,Sweden ; Portugal,59.6749712,14.5208584
Switzerland,Geneva,1,Switzerland,46.2017559,6.1466014
Taiwan,Tsay,4,Taiwan,23.9739374,120.9820179
Thailand,CRSLP-MARCS,18,"Bangkok, Thailand",13.7524938,100.4935089
Turkey,Altinkamis,1,Turkey,38.9597594,34.9249653
United Kingdom,Providence ,6,Southern New England,52.9534193,-1.1496461
United Kingdom,Manchester,12,"Nottingham/Manchester, England",52.9534193,-1.1496461
United Kingdom,Korman,6,"Nottingham, England",52.9534193,-1.1496461
United Kingdom,Belfast,8,"Belfast, Northern Ireland",54.596391,-5.930122375
United Kingdom,Thomas,1,England,52.5310214,-1.2649062
United Kingdom,CIG2,468,Wales,52.2928116,-3.73893
United Kingdom,Howe,16,"Cambridge, UK",52.2055314,0.118663
United Kingdom,Wells,32,England,52.5310214,-1.2649062
United Kingdom,Forrester,3,"Canterbury, Kent, England.",51.2800275,1.0802533
United Kingdom,Deuchar,1,"England, Brighton",50.8214626,-0.1400561
United Kingdom,CIG1,7,"Arfon area Gwynedd, North Wales",52.833333,-3.916667
United States,Perez,6,"Michigan, USA",43.6211955,-84.6824346
United States,Hall,39,USA,39.7837304,-100.445882
United States,Brent,8,USA,39.7837304,-100.445882
United States,Bloom,3,USA,39.7837304,-100.445882
United States,Clark,1,"Palo Alto, California, USA",37.4443293,-122.1598465
United States,Post,NA,"Suwannee County, Florida, USA",30.38911057,-82.95652008
United States,Valian,21,"Massachusetts, New York, USA",42.9135182,-78.8889915
United States,Brown,3,USA,39.7837304,-100.445882
United States,Ionin,22,"USA, Michigan (Ann Arbor, Southfield, Flint)",43.6211955,-84.6824346
United States,Morisset,206,"Seattle, Topeka, and UCLA.",47.6627921,-122.3916135
United States,Higginson,3,"USA, Iowa",41.9216734,-93.3122705
United States,Demetras - Trevor,1,USA,39.7837304,-100.445882
United States,Ota,3,Washington DC,38.8950368,-77.0365427
United States,McMillan,2,USA,39.7837304,-100.445882
United States,StanfordJapanese,5,San Francisco area,37.7790262,-122.419906
Japan,Ishii,1,"Kusatsu City, Shiga Pref",35.02043,135.9662554
United States,Snow,1,"USA, Brookline, MA",42.3494607,-71.1083452
United States,Ticio,1,"Houston, Texas, USA",29.7589382,-95.3676974
United States,CHCC,3,"US: Seattle, Maryland, Ann Arbor",39.5162401,-76.9382069
United States,Demetras - Working,3,USA,39.7837304,-100.445882
