country	Corpus	Nb.of.participants	Location
140	United Kingdom	Belfast	8	Belfast, Northern Ireland
141	United Kingdom	Thomas	1	England
142	United Kingdom	CIG2	468	Wales
143	United Kingdom	Howe	16	Cambridge, UK
144	United Kingdom	Wells	32	England
145	United Kingdom	Forrester	3	Canterbury, Kent, England.
146	United Kingdom	Deuchar	1	England, Brighton
147	United Kingdom	CIG1	7	Arfon area Gwynedd, North Wales
148	United States	Perez	6	Michigan, USA
149	United States	Hall	39	USA
150	United States	Brent	8	USA
151	United States	Bloom	3	USA
152	United States	Clark	1	Palo Alto, California, USA
153	United States	Post	NA	Suwannee County, Florida, USA
154	United States	Valian	21	Massachusetts, New York, USA
155	United States	Brown	3	USA
156	United States	Ionin	22	USA, Michigan (Ann Arbor, Southfield, Flint)
157	United States	Morisset	NA	Seattle, Topeka, and UCLA.
158	United States	Higginson	3	USA, Iowa
159	United States	Demetras - Trevor	NA	USA
160	United States	Ota	3	Washington DC
161	United States	McMillan	NA	USA
162	United States	StanfordJapanese	5	San Francisco area
163	United States	Ishii	1	Kusatsu City, Shiga Pref
164	United States	Snow	1	USA, Brookline, MA
165	United States	Ticio	1	Houston, Texas, USA
166	United States	CHCC	3	US: Seattle, Maryland, Ann Arbor
167	United States	Demetras - Working	NA	USA
168	United States	Menn	1	Cambridge MA
169	United States	Sachs	1	Connecticut, USA
170	United States	Davis	NA	USA
171	United States	Feldman (Andrea) 	NA	Colorado, USA
172	United States	Tanja	1	United States
173	United States	FallsChurch	1	USA, Northern Virginia
174	United States	Suppes	1	USA
175	United States	Warren-Leubecker 	20	suburbs of Atlanta, Georgia, USA
176	United States	Rondal-TD	21	usa
177	United States	Soderstrom	2	USA
178	United States	Peters/Wilson	1	Honolulu, HI
179	NA	Leo	1	Hong-Kong
180	NA	CUHK	7	Hong Kong
